 file_name                                               solver_name  setup_time (usecs)  solve_time (usecs)  status 
 almost_symmetric_network_10_orgs_                       ScrewSat     2483                1024                UNSAT 
 almost_symmetric_network_10_orgs_                       VariSat      638                 619                 UNSAT 
 almost_symmetric_network_10_orgs_                       Splr         1209                3633                UNSAT 
 almost_symmetric_network_10_orgs_                       BatSat       514                 745                 UNSAT 
 almost_symmetric_network_12_orgs_                       ScrewSat     4685                1974                UNSAT 
 almost_symmetric_network_12_orgs_                       VariSat      1262                874                 UNSAT 
 almost_symmetric_network_12_orgs_                       Splr         2416                8927                UNSAT 
 almost_symmetric_network_12_orgs_                       BatSat       1088                741                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   ScrewSat     4092                2343                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   VariSat      1072                1717                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   Splr         2169                6550                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_1   BatSat       828                 2183                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  ScrewSat     1404                152                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  VariSat      577                 90                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  Splr         3172                87                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_10  BatSat       454                 49                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  ScrewSat     783                 39                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  VariSat      315                 99                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  Splr         448                 2033                SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_11  BatSat       268                 42                  SAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   ScrewSat     9978                821                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   VariSat      1302                311                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   Splr         3936                425                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_2   BatSat       1187                197                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   ScrewSat     4450                957                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   VariSat      1237                294                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   Splr         2557                2211                UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_3   BatSat       1019                139                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   ScrewSat     1851                233                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   VariSat      424                 116                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   Splr         790                 183                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_4   BatSat       363                 69                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   ScrewSat     1880                310                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   VariSat      479                 256                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   Splr         833                 209                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_5   BatSat       446                 61                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   ScrewSat     1340                156                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   VariSat      275                 96                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   Splr         433                 59                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_6   BatSat       251                 48                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   ScrewSat     949                 124                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   VariSat      292                 92                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   Splr         449                 69                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_7   BatSat       221                 49                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   ScrewSat     1119                235                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   VariSat      225                 90                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   Splr         489                 67                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_8   BatSat       179                 44                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   ScrewSat     1039                175                 UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   VariSat      282                 71                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   Splr         481                 59                  UNSAT 
 almost_symmetric_network_12_orgs_delete_prob_factor_9   BatSat       266                 49                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   ScrewSat     17743               38430               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   VariSat      5259                6092                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   Splr         22510               46071               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_1   BatSat       5338                4908                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  ScrewSat     1070                103                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  VariSat      312                 116                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  Splr         533                 796                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_10  BatSat       279                 76                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  ScrewSat     1473                41                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  VariSat      240                 56                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  Splr         387                 2246                SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_11  BatSat       219                 43                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  ScrewSat     992                 46                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  VariSat      275                 53                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  Splr         462                 2781                SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_12  BatSat       764                 47                  SAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   ScrewSat     20634               3040                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   VariSat      6578                3130                UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   Splr         28122               32367               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_2   BatSat       6305                694                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   ScrewSat     10624               779                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   VariSat      2541                664                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   Splr         5033                17138               UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_3   BatSat       1982                437                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   ScrewSat     5889                866                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   VariSat      1736                670                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   Splr         3587                318                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_4   BatSat       1464                196                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   ScrewSat     1968                115                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   VariSat      473                 102                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   Splr         1101                200                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_5   BatSat       387                 55                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   ScrewSat     1392                108                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   VariSat      465                 116                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   Splr         1058                96                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_6   BatSat       470                 79                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   ScrewSat     4382                207                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   VariSat      1688                94                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   Splr         11406               83                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_7   BatSat       1822                52                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   ScrewSat     1081                148                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   VariSat      341                 96                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   Splr         725                 50                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_8   BatSat       325                 55                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_9   ScrewSat     1359                181                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_9   VariSat      298                 114                 UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_9   Splr         656                 66                  UNSAT 
 almost_symmetric_network_13_orgs_delete_prob_factor_9   BatSat       244                 50                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   ScrewSat     21716               15205               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   VariSat      5951                37604               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   Splr         14803               129659              UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_1   BatSat       4642                10789               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  ScrewSat     1334                120                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  VariSat      404                 90                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  Splr         1034                61                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_10  BatSat       327                 59                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  ScrewSat     1984                259                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  VariSat      425                 113                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  Splr         1117                57                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_11  BatSat       650                 61                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  ScrewSat     1429                233                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  VariSat      490                 87                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  Splr         2219                69                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_12  BatSat       423                 71                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  ScrewSat     898                 244                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  VariSat      288                 153                 UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  Splr         545                 49                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_13  BatSat       383                 63                  UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   ScrewSat     19365               6373                UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   VariSat      5439                1648                UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   Splr         12991               75570               UNSAT 
 almost_symmetric_network_14_orgs_delete_prob_factor_2   BatSat       4272                715                 UNSAT 
